mse:0.11836234480142593, mae:0.2394193857908249
mse:0.11049911379814148, mae:0.231297567486763
mse:0.36498719453811646, mae:0.2883090376853943
mse:0.39226284623146057, mae:0.33385998010635376
mse:0.5128651857376099, mae:0.3667760193347931
mse:0.23089967668056488, mae:0.27463001012802124
mse:0.06508564203977585, mae:0.1523037850856781
mse:0.1277463585138321, mae:0.2444048672914505
mse:0.003079495392739773, mae:0.04243854433298111
mse:0.2091725468635559, mae:0.3022877275943756
mse:0.5006633996963501, mae:0.49257174134254456
mse:0.41241833567619324, mae:0.36315563321113586
mse:0.5606959462165833, mae:0.3487052619457245
mse:0.48517853021621704, mae:0.37378591299057007
mse:0.49021032452583313, mae:0.39835211634635925
mse:0.6937738060951233, mae:0.33516839146614075
mse:0.48484188318252563, mae:0.35491594672203064
mse:0.32810619473457336, mae:0.33792099356651306
mse:0.365432471036911, mae:0.34931400418281555
mse:0.23571676015853882, mae:0.34963515400886536
mse:0.5261547565460205, mae:0.5744457840919495
mse:0.5785079598426819, mae:0.6022476553916931
mse:0.27617546916007996, mae:0.3786746859550476
mse:0.38905683159828186, mae:0.34218499064445496
mse:0.5697939395904541, mae:0.5980484485626221
mse:0.7721642255783081, mae:0.6395716071128845
mse:0.6354552507400513, mae:0.635851263999939
mse:0.5344179272651672, mae:0.29379916191101074
mse:0.2386040985584259, mae:0.28465741872787476
mse:0.09093541651964188, mae:0.18856281042099
mse:0.507246196269989, mae:0.35572296380996704
mse:0.406150758266449, mae:0.34913983941078186
mse:0.418110728263855, mae:0.38259559869766235
mse:0.06171613186597824, mae:0.18954378366470337
mse:0.3065989911556244, mae:0.31970590353012085
mse:1.1089274883270264, mae:0.3597699701786041
mse:0.3575969636440277, mae:0.4002917408943176
mse:0.39878562092781067, mae:0.4523668587207794
mse:0.9032766222953796, mae:0.30189815163612366
mse:0.03834500536322594, mae:0.14916224777698517
mse:0.3019294738769531, mae:0.29194697737693787
mse:0.22135311365127563, mae:0.23852096498012543
mse:0.22618819773197174, mae:0.2755800485610962
mse:0.29503849148750305, mae:0.30771404504776
mse:0.7846497893333435, mae:0.6750999689102173
mse:0.7299984693527222, mae:0.27837902307510376
mse:0.3800131380558014, mae:0.3443034291267395
mse:0.34218618273735046, mae:0.3314964175224304
mse:0.6101970076560974, mae:0.6243430376052856
mse:0.6573955416679382, mae:0.639854371547699
mse:1.1775248050689697, mae:0.5574062466621399
mse:0.8198180794715881, mae:0.6577250957489014
mse:0.29712843894958496, mae:0.30537208914756775
mse:0.34763556718826294, mae:0.4264795184135437
mse:0.3125162124633789, mae:0.3891162872314453
mse:0.0027443983126431704, mae:0.03986372798681259
mse:0.11786402016878128, mae:0.23229610919952393
mse:0.47807440161705017, mae:0.3677881062030792
mse:0.302336186170578, mae:0.312361478805542
mse:0.7215347290039062, mae:0.35404178500175476
mse:0.1012444794178009, mae:0.1539461761713028
mse:0.2873918414115906, mae:0.38101714849472046
mse:1.039904236793518, mae:0.8736194968223572
mse:0.4575672149658203, mae:0.34444159269332886
mse:0.07093439251184464, mae:0.19176258146762848
mse:0.3432617485523224, mae:0.30735889077186584
mse:0.33982816338539124, mae:0.32538577914237976
mse:0.6361044645309448, mae:0.6269787549972534
mse:0.4647008180618286, mae:0.3710729479789734
mse:1.0169678926467896, mae:0.7133561372756958
mse:0.03901603817939758, mae:0.150144562125206
mse:0.3490125834941864, mae:0.33397361636161804
